Keyword,Review,Tone,Attribute1
Android,  Look and feel are good as well the ,3,Look
Android,  Look and feel are good as well the ,3,Feel
fast, good delivery by snapdel i also get 200 rs coupon with this mobile simply it a very nice phone With querty key pad I can write more ,3,Querty
touch, good delivery by snapdel i also get 200 rs coupon with this mobile simply it a very nice phone With querty key pad I can write more fastly than other only ,0,
Bluetooth,# ,0,
features, A descent option for those who wish to have a stylish mobile with all the ,3,
stylish, A descent option for those who wish to have a ,3,
memory ,  Internal ,0,
fast,  With querty key pad I can write more ,3,Querty
touch,  With querty key pad I can write more fastly than other only ,0,
memory ,16 GB Internal ,3,16 GB
snapdragon,  Quadcore ,0,
storage,  16gb ,3,16 GB
google,  50 gb ,3,50 GB
storage,  50 gb google drive ,3,50 GB
storage,  50 gb google drive ,3,Google Drive
budget,If u r waiting for a phone which offers the services of a 25k  phone at ,0,
service,If u r waiting for a phone which offers the ,0,
fast,5)quad-core process is very ,3,Quad Core
sound,2),0,
touch,3),0,
Battery,  Great ,3,Great
Android,  Latest ,3,Latest
budget,  Deserving ,3, Deserving 
budget,  No other phone in the market shall be able to challenge its superiority in the ,3,superiority
expandable,  No ,1,no
stylish, Phone is ,3,
touch, Display is very awesome and ,3,
sound,  Separate ,0,
budget, The Phone is perfect at its ,3,perfect
snapdeal, I guess someone can wait till it becomes available on ,0,
snapdeal,  because of these sweet deals ,3,
flipkart, Any way on ,0,
built ,1) Good ,3,good
delivered,3) Great processing speed ,3,
performance, 5GB for enhanced ,3,
sound,3) Speaker ,3,Speaker
memory ,4) No ,1,
touch,A good phone for those who need an upgrade to ,3,
features, awesome mobile loaded with ,3,
service, awesome mobile loaded with features with a good brand name and chain of ,3,
touch,  It has a high speed response and the ,3,Response
features,  It has got many new ,3,
Android,  It can updated to ,3,
expandable,Only bad side is that it dont have an ,1,dont
memory ,Only bad side is that it dont have an expandable ,1,Expandable
Camera,  people who are complaining about camera quality go get a ,3,quality
budget,A power Packed Mobile in a ,3,power
expandable,Only competition to this Moto G is Gionee Elife E3 which has similar qualities that Moto G offers + it has an ,0,
memory ,Only competition to this Moto G is Gionee Elife E3 which has similar qualities that Moto G offers + it has an expandable ,0,
budget, This is a nice ,3,nice
features, This is a nice budget phone which has got all the necessary ,3,
budget, for a normal ,3,
features, A very good phone with lots of ,3,
touch,  Awsome quality user friendly as it is have both ,3,
internet,Can get maximum typing speed in message or chatting on the ,0,
service,And also thanks to snapdeal for their awsome ,3,
snapdeal,And also thanks to ,3,
clarity,  Having good ,3,good
sound,  Having good clarity of ,3,Clarity
budget, a nice product for those who care about ,3,nice
stylish,  and overall very ,3,
features, A good phone with many ,3,
touch,  very easy uses for screen ,3,
delivered, Product ,0,
music,The ,0,
video,Plays mp4 ,3,mp4
fast,Bluetooth is ,3,Bluetooth
features, This phone is good for lower end user but not for business purpose as it lacks business ,1,Business
interface,  Apple itself as brand I adore and the ,3,
heavy,  The hind site to the product is a bit ,1,
clarity, The best phone in the world what a ,3,best
picture, The best phone in the world what a clarity amazing sharpness and ,3,sharpness
lag,  Iam having one newly lunched android phone but it ,1,
fast,  The apples A4 chip works very ,3,A4 chip
hardware, The iPhone 4 introduced a new ,0,
Display, The iPhone 4 also introduced Apples new Retina ,3,Retina
service, which notably introduced multitasking functionality and Apples new FaceTime video chat ,3,FaceTime
video, which notably introduced multitasking functionality and Apples new FaceTime ,3,FaceTime
Android,  Cons vs ,0,
Battery,- ,0,
games,- Most apps including graphic intensive ,3,Graphic
Android,- Vs ,0,
responsive,  better app quality (UI ,3,UI
UI,  better app quality (,0,
Camera,- ,0,
instagram,  Great for ,3,
speakers,- Phone ,0,
video,  Same goes for ,0,
fast, Perfect Goods with ,0,
games, but it lacks in some ,1,Lacks
features, easy to use with all the ,3,
Bluetooth,  Big problem is you not download any songs or vdo from internet and another problem is ,1,problem
internet,  Big problem is you not download any songs or vdo from ,1,
touch, Nokia 220 is rightly priced for phone without ,0,
body, 4 inch screen plastic ,0,
clarity, 4 inch screen plastic body  light weight sound ,3,
sound, 4 inch screen plastic body  light weight ,0,
Bluetooth, however I was VERY SHOCKED to find that the phone does not support ,1,Support
Bluetooth,  That even when Snapdeal mentions ,0,
Bluetooth,  Later I researched in other sites to find out that the ,0,
budget, A Very Good Product within the ,3,within
touch, The product meets our expectationswith a good battery backup and necessary requirements all these embedded in the basic phone giving it the ,2,
picture, Its exactly the same as shown in the ,0,
service, gud ,3,
buttons, Large ,0,
snapdeal,  thanks to all of you in ,3,
budget,  If you are on minimal ,3,minimal
durable,afterall it is the best low cost ,3,
games,  It can run  facebook music player lots of ,3,
music,  It can run  facebook ,0,
build,  The design and ,0,
cheap,Pros: ,0,
durable,Pros: cheap and ,3,
sound,Cons: ,1,
budget,  I was looking for a ,0,
music,  It plays good quality ,3,Quality
delivered, I have been a regular purchaser from Snapdeal and have always received exllent products at unbeatable prices which were packed well and ,3,Packed
online,  After comparing other ,0,
online,  Will again purchase other itesm from them as they are far better than other ,3,
snapdeal,  Beyond product price that ,0,
service, Only phone from nokia having good price on snapdeal you will find everything in  relevent prices i had also bought other product also having with awesome ,3,
snapdeal, Only phone from nokia having good price on ,3,
affordable, Basic and very user friendly as Nokia has ever been at a very ,3,
touch,  Gifted this phone to my father who isnt fond of ,0,
body, Decent camera brilliant display sturdy ,3,Sturdy
durable, Decent camera brilliant display sturdy body and ,3,
memory , Phone is really good with lots of feature like facebook expendable ,3,Expendable
music, Phone is really good with lots of feature like facebook expendable memory ,0,
snapdeal, I have oredered multiple electronics items in past through ,0,
Battery, Camera,0,
sound, CameraBattery,0,
snapdeal, Glad to have shopped from ,3,
snapdeal, the product is good as i expected the ,0,
games, Good battery backup sound display nice ,3,
sound, Good battery backup ,0,
sound,But sometimes the ,0,
performance, Awsome battery ,3,Battery
cheap,Easy to use ,0,
stylish, Product is very good quility vice and looking very ,3,
performance,  Even earlier I have always trusted Nokia and been happy with its ,3,
features,  The ,0,
sound,  The features that matter most to me are clear ,0,
music, i cnt see individual inbox nd sent box only name shows in contact list it dont show name nd number together battery dosnt work for more than 3to4 days during normal calling(30 to 40 mindy ) i had expected from it to stand for 8 to10 dys for normal calling  but it disappointed mend during ,1,
sound, i cnt see individual inbox nd sent box only name shows in contact list it dont show name nd number together battery dosnt work for more than 3to4 days during normal calling(30 to 40 mindy ) i had expected from it to stand for 8 to10 dys for normal calling  but it disappointed mend during music play in full ,1,
internet, it is not use as a modem for ,1,
snapdeal,  it is lowest price in only ,3,
interface,  The curved back side strikes a familiarity with the Asha series and so does the icons and software ,2,
software,  The curved back side strikes a familiarity with the Asha series and so does the icons and ,2,
online, Snapdeal is a ideal ,3,
service,  and great ,3,
snapdeal,  and great service by ,3,Service
touch, The phone is good for people not used to ,2,
memory , No ,0,
features,  I am surprised with this type of design from nokia that too when there are so many models available from other companies with good ,1,
budget, Excellent mobile in ,3,excellent
features, Very good phone @ low cost Awesome battery life i charge my phone once and after that i charge again in two days  nice ,3,
body, also ,0,
build, also body ,0,
build,Good ,3,good
applications,None but may be good if I would have been a choice to remove softwares,2,Software
software,None but may be good if I would have been a choice to remove ,2,
performance, I bought this for my uncle and he is more than happy with its ,3,
internet,Has dual mini-sim slots lets u access ,2,
touch,Good for old people who arent much comfortable with ,2,
features, The description is in line with the ,2,
budget, very good ,3,good
sound, Low ,1,Low
headphone, This phone lacks sound qualitybig screen is a plusalong with dual SIMeverything  is there except the sound on speaker,1,
headphone, This phone lacks sound qualitybig screen is a plusalong with dual SIMeverything  is there except the sound on speaker,1,Speaker
sound, This phone lacks ,1,
performance,- nice ,3,
sound,- Earpiece ,1,Earpiece
budget, Nokia 220 Dual SIM Black is perfect ,3,perfect
image, Everything is ok but i cant find zoom option in ,1,Zoom
body,  Gift it to some,0,
games,  Gift it to somebody or play pre installed ,1,pre installed
online,  Tried to negotiate with the local shops they were not able to give on ,0,
features,  They have given ,0,
features,  I recommened the product to any one who looks for a simple and humble mobile with necessary ,3,
affordable, nice phone to use at ,3,
snapdeal, superb deal from ,3,
budget, Superb ,3,superb
snapdeal, i eill buy again from ,0,
snapdeal, excellent deal for me from ,3,
performance, Really this mobile is very cool and awesome ,3,
budget, Good phone in ,3,good
service, U have a great ,3,
service, I bought this mobile last week and very much satisfied with the product and the ,3,
internet,  If you wanna use ,0,
budget, A very good product within ,3,within
clarity,  what ,3,
cheap,  It is the best and the ,3,best
software, it is good product in nokia mobile but minner ,0,
sound,  good ,3,
memory ,  Bluetooth ,0,
sound, Phone is nice but ,0,
budget, superb clarity large display smooth keys under my ,3,under
charging, superb clarity large display smooth keys under my budget good camera quality very fast function battery lasts longer for 5 days ,3,
fast, superb clarity large display smooth keys under my budget good camera quality very ,3,very
fast, superb clarity large display smooth keys under my budget good camera quality very ,3,good
fast, superb clarity large display smooth keys under my budget good camera quality very ,3,good
smooth , superb clarity large display ,0,
budget, Very good phone with low ,3,Low
sound,  camera is gud for 2 MP but the ,0,
snapdeal,Also 1GB data free from ,0,
snapdeal,  thanks 2 ,3,
Battery,  Although ,0,
sound, Pros: Good looking Loud clear ,3,Loud
sound, Pros: Good looking Loud clear ,3,Clear
budget,  It has all you can ask for in a ,3,
memory ,  Contacts can be backed up in ,2,
budget, Good one for low ,3,low
memory ,Support extra ,3,Support
video,Play ,0,
music,  Not impressive other brands give much good quality of ,1,Quality
build,  Could have been made more compact and of better ,2,Compact
features, it has ,0,
memory ,  Its dual sim with ,0,
durable, Effort able ,0,
cheap,  You will find it hard to remove the back cap for the first time and the panel feels very ,1,
cheap,  But we will feel it ,0,
cheap, Built material looks ,1,
cheap, Built material looks ,1,
image,  Dont get carried away by the ,0,
Camera,   Good ,3,good
Apps,4) Less apps availability for Asha 501 in Nokia ,1,less
music,  No multiple files sharing of ,1,Files sharing
Audio,  u cannot send ,1,send
Audio,  u cannot send ,1,cannot
Audio,  u cannot send ,1,cannot
video, ) One more thing u cannot share any things other than audio and ,2,
sound,  By default Alarm ,0,
video,  It dont have good ,1,
video,  it means you cant even zoom the camera once the ,0,
sensor,  Coming to its proximity ,0,
buttons,  One more Important thing to say that Nokia had not provided this worst ear phones ever in the earlier as it dont have any call ,1,Call
browsing,  while u are ,0,
internet,  while u are browsing ,0,
browsing,  so U cannot use Internet for long time so that u cannot receive the callssms on other sim while u are ,1,
features,The remaining ,0,
features,Hope Nokia will update atleast some of the above ,2,
interface, Easy to handle and a user friendly ,3,User friendly
image, The ,0,
connectivity,  It has got a fast bluetooth ,3,
connectivity,  It has got a fast bluetooth ,3,Fast
fast,  It has got a ,0,
video,  The audio and ,0,
memory ,  4GB ,0,
budget,  This phone is basically target for tight ,3,tight
UI, A nice looking phone with great G,0,
budget, Good ,3,good
fast, Very Good Phone and delivery of this phone is very ,3,Delivery
Battery, Light weight and Long ,3,Long
snapdeal, I happened to see my friend using this mobile and I bought two  of these for my dad and mom from ,0,
applications,Tons of interesting ,3,interesting
touch,Responsive ,3,Responsive
UI,Good ,3,
snapdeal,  i am happy to buy this set from ,3,
sound, Nice product but alarm ,0,
UI,The ,0,
hangs, 1) Touch of the phone ,1,
Battery,Cons: ,0,
fast,Pros: Touch is great nice looks very ,3,
features,Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar ,0,
headphone,Pros: Touch is great nice looks very fast and no lags ,0,
heavy,Cons: Battery backup is poor speaker not too loud installed apps are not of great use quite ,1,Apps
lag,Pros: Touch is great nice looks very fast and no ,3,no
budget, I was happy with this purchase good low ,3,Low
responsive,  it has a very good ,3,
touch,  it has a very good responsive ,3,Responsive
browsing,  Nokia Xpress Browser is light on data but it still gives you the full ,2,
applications,  Answer calls switch between ,0,
back ,  different colors and interchangeable ,2,
music,A best as a secondary phone for ,3,
Store,  Its handy fits in the hand does all the task flawlessly has an awesome responsive touch keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own ,3,app
connectivity,  Its handy fits in the hand does all the task flawlessly has an awesome responsive touch keyboard actually better than some entry level droids no lags bright visibility good ,3,good
lag,  Its handy fits in the hand does all the task flawlessly has an awesome responsive touch keyboard actually better than some entry level droids no ,3,no
responsive,  Its handy fits in the hand does all the task flawlessly has an awesome ,3,
touch,  Its handy fits in the hand does all the task flawlessly has an awesome responsive ,3,Responsive
interface,  Simple ,3,Simple
service, the tracking ,0,
games,  40 free EA Sports ,2,
memory ,  A 4gb microsd ,0,
browsing,  it saves upto 90% of your ,0,
browsing,  start ,0,
video,  It only supports ,0,
sound,  quality of ,0,
snapdeal, Good packing by ,3,Packing
snapdeal,  and phone is in sealed pack and excellent i like ,3,
applications,  The ring tones are just excellent and ,0,
stylish,  The cell is also ,3,
features,  Compact to use and ,0,
snapdeal, The experience was good to shop with ,3,Experience
budget,  Obviously he is not that tech-savvy but still one would expect a ,0,
features, It is a great phone at this price but yes with hi tech today it seems a lil small in size and ,1,
build,  Nokia phones are ,0,
Android,2) the processor is good enough and the phone is fast enough better than some of the ,0,
fast,2) the processor is good enough and the phone is ,3,
features,3) Packed with lot of ,3,
touch,  Come on Nokia you can do much better in all these user ,0,
clarity,3) in call voice ,0,
picture,4) The screen resolution ,0,
video, Only if it had  a  secondary camera for  ,0,
browsing, mail to web ,0,
delivered, Nice product and good ,3,good
snapdeal, Nice product and good delivered by ,3,Delivered
warranty,  I could not see the ,1,
features, Nice sleek handy compact phone with good ,3,
budget, very good phone with a good touch sensor at this ,3,low
sensor, very good phone with a good touch ,3,
touch, very good phone with a good ,3,
features, Touch ,0,
budget,  And the best part its super ,3,super
features,  Its not having the whatsapp application preloaded as mentioned in the ,2,
delivered, I am happy with this purchase I expected to be ,0,
touch, Pros: ,0,
smooth ,  My parents are using the phone form past two weeks and happy with the battery life and ,0,
snapdeal,  The price of the product that ,0,
sound, This is my second Nokia Asha 501 for my family member Very good phone excellent ,3,
internet, 0 MP) good battery back up whatsapp works butter smooth lag free ,3,
lag, 0 MP) good battery back up whatsapp works butter smooth ,0,
smooth , 0 MP) good battery back up whatsapp works butter ,3,
delivered,  However the courier service was very pathetic it  was ,1,pathetic
service,  However the courier ,0,
snapdeal, The rate given by ,0,
memory , Good phone for a smart price with 4gb ,3,4 GB
touch, Good phone for a smart price with 4gb memory card and ,0,
touch,  The matte shell feels nice and a bit soft to ,2,
viewing angles,  Colors on the screen are vivid and contrasted and ,0,
features, I bought this mobile for me but after using this i was really amazed with its responsive touch and performanceevery ,0,
performance, I bought this mobile for me but after using this i was really amazed with its responsive touch and ,3,
responsive, I bought this mobile for me but after using this i was really amazed with its ,3,
touch, I bought this mobile for me but after using this i was really amazed with its responsive ,3,Responsive
Camera,- ,0,
features,so if u expect a mobile with tons of ,1,
memory ,- 4 GB ,3,4 GB
Processor,- 1Ghz ,0,
Resolution,- low Screen ,1,
Screen,- low ,1,Low
touch,- Responsive ,3,Responsive
UI,- New Asha Touch ,0,
Android,  He wanted a touchscreen phone that was reliable and simple for his calling and messaging needs only and found ,0,
touch,  He wanted a ,0,
performance,  very happy with the ,3,
hangs, Nokia Asha 501 Do not buy this phone this phone ,1,
online, doesnt have whats app inthe phone as shows in ,1,
hangs, Phone ,1,
touch, Nokia asha 501 is a very nice phone as well as very nice ,3,
online,  As i have purchased it from snapdeal which is indias largest ,0,
snapdeal,  As i have purchased it from ,0,
Android,Not an ,1,
Battery,Long ,3,Long
Camera,No flash support for ,1,Flash
lag,Last OS update Phone ,0,
memory ,Last OS update Phone lags due to frequent ,0,
features, Handy set with necessary ,2,
online,  Best ,0,
sound, clear ,3,Clear
budget, Best ,3,best
body,Overall I liked the ,3,liked
snapdeal, we are happy  to purchase this phone from ,3,
budget,  (Y) go for it if u r having a low ,3,low
durable,  Very ,3,very
budget, Overall an excellent ,3,excellent
video,2-no flash support (cant watch youtube or any other ,1,
memory ,  It has 4gb ,0,
applications, Not good for business useall ,1,Business
image,  but  the only problem is we cannot change the background ,1,Background
features, An excellent cell phone with good ,3,
Design,  Touch battery life ,0,
touch, Good product Compact design Easy to handle and operate Good battery backup and Nice ,3,
picture, the mobile dont install any application( you tupe and photo edit then capturing ,0,
video, the mobile dont install any application( you tupe and photo edit then capturing picture in playing ,0,
affordable, Very good product ,0,
features, Very good product affordable and with all ,3,
budget, This phone is basically target for tight ,3,tight
touch, This phone is basically target for tight budget people and who wants to buy a ,2,
Design,  Sleek ,3,Sleek
games,Cons: Not many ,1,
games,  Few of the ,0,
performance,   However I have been using this mobile for the past three days and hence it is difficult to comment on the product and its complete ,0,
applications,Pros: Tons of interesting ,3,interesting
gaming,Great for fans of mobile ,3,
touch,Responsive ,3,Responsive
Bluetooth,Cool ,3,cool
games,several times during ,0,
Screen,Cons: ,1,
build,The cheap plastic ,1,Cheap
build,The cheap plastic ,1,Plastic
cheap,The ,0,
responsive,  Capacitive screen is very ,3,Screen
responsive,  Capacitive screen is very ,3,Capacitive
features,    Nokia Asha 501 is a very good low price smartphone with execelent ,3,
sound, Only cons were low alarm ,1,Alarm
software, Hope a ,0,
budget,  Go for it if you are on a ,3,
affordable, Good product at ,0,
connectivity,-WiFi ,0,
fast,-,0,
responsive,-good ,3,
touch,-good responsive ,3,Responsive
Bluetooth,-slam via ,0,
built ,-headset provided has good sound quality but poor in ,1,poor
gps,-no ,1,
headphone,-old headsets like nokia wh 102 is not supported its detected as ,1,
sound,-headset provided has good ,3,Headset
music,  Nokia ,0,
budget, If you really intend to buy a Nokia phone with tight ,3,tight
Android,  Its a good phone but if you want value for money phone and a smartphone also then look for ,0,
features,  Its a good phone but if you want value for money phone and a smartphone also then look for Android ones theyre available at same price with great ,0,
budget,  Still if you want a Nokia phone and can raise your ,0,
touch,At times response to ,0,
features,All other ,0,
memory ,4 Gb ,0,
features,  Comparing the ,0,
touch, very nice ,3,
headphone, I just love the colour of the phone and ,3,
buttons,Ear Phones : No call liftvolume ,1,Volume
Game,Free download EA ,3,
sound, Its very good phone but it has a probleb u can not off the camera ,1,
Apps,4) Less apps availability for Asha 501 in Nokia ,1,
snapdeal, I ve not yet used this phone but i ve just ordered it with ,0,
cheap,  This is the ,0,
budget, Good Cellphone in a ,3,good
Size, Good Cellphone in a budget however the major concern and its hard to digest this fact was this cellphone was able to open large dimensions : 4608 X 2592 (,0,
video, 12 MB) PhotosSnaps but failed to play ,1,
fast,-Its very ,3,very
sound,-Nice and loud ,3,Loud
durable,  Hence ,0,
touch,-Small screen size makes hard to use and ,0,
budget,  If you have a tight ,0,
features, its a good product for its price range comes with 3 inch screen and fair ,2,
touch, It is a 2g phone with ,0,
operating ,  It is very simple and cute but it looks shorter when compared to other nokia mobiles of symbian ,2,
memory , nokia is also providing a 4gb ,3,4 GB
features, I bought this mobile for my Wife after Seeing this i was really amazed with its responsive touch and performanceevery ,0,
performance, I bought this mobile for my Wife after Seeing this i was really amazed with its responsive touch and ,3,
responsive, I bought this mobile for my Wife after Seeing this i was really amazed with its ,3,
touch, I bought this mobile for my Wife after Seeing this i was really amazed with its responsive ,3,Responsive
UI,  One thing i feel while using 501 its ,0,
hangs, poor video playback (,1,
video, poor ,1,
UI, anytime any app swipe ,0,
headphone, Very good volume output (,3,Volume
games, 50 paid ,0,
Apps, Interface is nice and it give looks appealing and has smooth and easy to swipe but ,0,
smooth , Interface is nice and it give looks appealing and has ,3,
features, -vis its easy to use and easy to hold ,3,
heavy, Other sets are either too long or too ,0,
connectivity,  It requires internet ,0,
games,  It requires internet connectivity for installing many of the softwares ,1,
internet,  It requires ,0,
software,  It requires internet connectivity for installing many of the ,1,Installing
memory , Good productonly drawback is phone ,1,
online, It delivers to the promise though seems a little big on the ,2,
touch,  The controls are good and the ,0,
applications,  It comes loaded with a lot of ,3,lot
lag,  Camera speed is average and there is a little ,2,little
picture,  Camera speed is average and there is a little lag but quality of the ,0,
snapdeal, after buying lot of products from ,0,
touch, it has responsive ,3,Responsive
google,For 5000 ,0,
expandable, Regarding the memory it will be of 64gb ,3,64 GB
memory , Regarding the ,0,
snapdragon,The strikeout points are- The dual core ,3,Dual core
service,  Skydrive(cloud storage of 7GB free) Nokia HERE(route maps) are couple of samples of the best ,0,
storage,  Skydrive(cloud ,0,
Android,  By the end of this year Windows 8 based phones will surpass ,0,
touch,- Smooth Touch (one of the finest ,3,Smooth
Camera,- Ultimate ,3,Ultimate
performance,- Added beauty and ,3,
Battery,- ,0,
windows,- All cons to less apps in ,1,Apps
Android, I have been learning about the different phones for a while and even though I was impressed with ,0,
Android,  I also checked out different ,0,
Android,  I already know windows so I do not need to fiddle with the apk files found in ,0,
windows,  I already know ,0,
performance,  I had been using Samsung Galaxy Y before this and I am very amazed with the overall design ,3,
Android,  Samsung and especially ,0,
Android,  The specifications are impressive too and can easily defeat any low budget ,0,
Android, Anyone who has used this phone at least once would find out that Samsung and ,0,
expandable,  The 1 GHz Qualcomm Krait Dual Core Processor is a beauty to process and 64 GB of ,3,64 GB
