Keyword,Review,Tone,Attribute1
Battery,  life need to be improved,1,improved
fast, ly than other only touch devices which increases my efficiency and save my time,3,
touch,  devices which increases my efficiency and save my time,3,Efficiency
Bluetooth,  is not working,1,
stylish,  mobile with all the features,3,
Battery,  lasts atleast two days even if data traffic is on the entire day,3,two
memory , is great too for storing apps,3,Apps
budget,  price u r wait is over,3,Price
sound,  is also good,3,
touch,  screen is very good,3,
Battery,  life of 2070mAH,3,2070mAH
budget,  phone ,3,
expandable,  memory,3,Memory
stylish,  and light weight  curved edges looks smart,3,
Display,  is very awesome and touch quality is good,3,
touch,  quality is good,3,Quality
Camera,  is nice ,3,
Battery,  is not removable ,1,not
flipkart,  it is getting out of stock in short time,1,Out of stock
built ,quality with lots of coluored to choose from,3,quality
touch,  is so good and smooth,3,Smooth
expandable,  memory slot,3,Memory
Camera,  for clicking good quality photos,3,Quality
budget, ed price,3,Price
delivered,  in perfect condition,3,
budget,  phone which has got all the necessary features,3,
budget, ed phonethis is apt for me,3,
features,  at low cost,3,Cost
touch,  and keypad its nice to operate,3,Keypad
snapdeal,  for their awsome service,3,Service
stylish,  and hany,3,
delivered,  promptly &amp,3,
music,  is unbelievably clear in full volume &amp,3,Clear
music,  is unbelievably clear in full volume &amp,3,Volume
Bluetooth,  is faster thn my c6,3,Fast
interface,  is very good it is user friendly and I look forward for my wife to use it,3,User Friendly
clarity,  amazing sharpness and picture quality,3,Quality
fast,  ios is very easy to use,3,IOS
hardware,  design to the iPhone line incorporating an uninsulated stainless steel frame which doubles as an antenna with internal components situated between chemically strengthened aluminosilicate glass,3,Design
UI,  responsiveness),3,Responsiveness
Camera,  quality can no longer be called great(5MP),1,Quality
speakers,  are not especially loud,1,Loud
fast,  shipping,3,Shipping
Bluetooth,  you cant share photo with your friends ,1,Share
body,   light weight sound clarity good battery life usb charger what more you can expect at this price,3,Light weight
sound,  clarity good battery life usb charger what more you can expect at this price,3,Clarity
Bluetooth,  profile supported is only available for file transfer,1,Supported
Screen,  resolution is pretty dismal,1,Resolution
budget,  2k - 3k then go for this,3,
durable,  product,3,Product
build,  quality is pretty amazing in this phone,3,Quality
sound,  quality during calls is not so great,1,Quality
budget,  phone,3,
delivered,  quickly,3,
online,  shopping sites I selected Snapdeal for the purchase of Nokia 220 Dual SIM Black as it had the best offer,3,Snapdeal
Delivery,  time is as per expectations,3,
snapdeal,  you will find everything in  relevent prices i had also bought other product also having with awesome service and affortive price ,3,
affordable,  rate,3,Rate
durable,  keypad,3,Keypad
sound,  quality everything is very much perfect at this range,3,Quality
games,  torch comes in handy,3,Torch
sound,  echoes as if Im speaking from inside a tumbler,1,Echoes
cheap,  phone for everyday use,3,
features,  that matter most to me are clear sound and easy operations - both are good in the new buy,3,
build,  quality is very robust the phone has been thrown by my 2 yr old son multiple but there are no scratch,3,Quality
build,  quality is very robust the phone has been thrown by my 2 yr old son multiple but there are no scratch,3,Robust
Battery,  back up is very good,3,good
sound,  quality is good,3,Quality
budget,  phone segment,3,
body,  build quality is fine,3,Quality
body,  build quality is fine,3,Build
build,  quality is fine,3,Quality
build,  quality,3,Quality
budget,  fone,3,
sound,  qualitybig screen is a plusalong with dual SIMeverything  is there except the ,3,Quality
sound,  is very low cant hear a thing during conversations without activating loudspeaker,1,Low
budget,  phone for me,3,
features,  which excites with its price,3,
affordable,  price,3,price
clarity,  at 2MP  rocking,3,2 MP
cheap, est phone in this range with all specifications,3,
sound,  quality is not good,1,Quality
charging,  within 1 hour,3,
smooth , keys under my budget good camera quality very fast function battery lasts longer for 5 days charging within 1 hour,3,Keys
snapdeal,  for 3 months is another added advantage,3,
Camera,  also come with 2 mega pixel is good,3,2 mega pixel
Battery,  very poor,1,poor
Battery,  life is 1000 MAH but the life is very short,1,
budget,  phone of reputed make,3,
